MODEL;MSAN;RIN;IP;Slot_ID;Slot_Name;Slot_Main_Mode;Slot_State;Slot_Alarm;Slot_Prop_Alarm;Port_ID;Port_Main_Mode;Port_Alarm;Port_User_Label;Port_Service_Label;Port_Description;OperationalStatus;NearEnd_CurrentAttenuation;NearEnd_CurrentMargin;NearEnd_CurrentPowerBackOff;FarEnd_CurrentAttenuation;FarEnd_CurrentMargin;FarEnd_CurrentPowerBackOff
Milegate;SPO-C04-0;c04-rin-200;10.214.3.190;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Cleared;logport-1 ;port-1; Cleared   ; CASA DE DAVID TABERNACULO  ; SPO-301K07528-032 ; ;Up;2;23;6;2;21;6
Milegate;STS-A07-0;a07-rin-138;10.209.225.13;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Warning;logport-2 ;port-2; Cleared   ;            ;               ; ;Up;6;24;2;6;21;0
Milegate;SPO-B99-0;b99-rin-196;10.214.3.182;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-1 ;port-1; Major     ; KELLY CRISTINA          ;                                  ; SPO-301JTTRHZ-032;Down;128;127;255;128;127;255
Milegate;MCZ-I01-4;i01-rin-493;10.209.21.20;unit-21;STIM1 R1B;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Major     ; Cliente: SERVICO MUNICIPAL ; DESIGNADOR: MCZ-301LBVEJZ-032 ; ;Down;128;127;255;128;127;255
Milegate;STS-A14-4;a14-rin-3;10.209.225.34;unit-20;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Cleared;logport-2 ;port-2; Cleared   ; Cliente:S VERRESCHI ADVOGADOS ASSOCIADOS ; Designador: STS-301K3C8WB-032 ; PAR 410;Up;10;24;0;10;21;2
Milegate;STS-A16-4;a16-rin-43;10.209.225.158;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Cleared;logport-3 ;port-3; Cleared   ; NPO DESENV  ; STS-301HLNUR3-032 ; ;Up;4;23;4;4;20;0
Milegate;MCZ-A05-4;a05-rin-409;10.209.21.6;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Warning;logport-1 ;port-1; Cleared   ; ITALIAN INDUSTRIA IMPORTACAO E EXPORTACAO LTDA  ; OSTBS: 14829079;;Up;14;24;0;14;20;1
Milegate;STS-A01-0;a01-rin-146;10.209.225.113;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Cleared;logport-2 ;port-2; Cleared   ; Cliente:RADIO GUARUJA PAULIS ; Designador:STS-301D1CCNF-032 ; SPIMXM_3 // PAR 449-450 // PILOTO 32691010;Up;5;23;4;4;20;5
Milegate;STS-A09-0;a09-rin-194;10.209.225.17;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Cleared;logport-2 ;port-2; Cleared   ; Cliente:MICRO RENT ; Designador:STS-301D0CELB-032 ; ;Up;3;22;5;2;20;6
Milegate;STS-I01-4;i01-rin-191;10.209.225.42;unit-18;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Cleared;logport-4 ;port-4; Cleared   ; Cliente:BON GIORNNO MOVEIS E ; Designador:STS-301A7YJV6-032 ; ;Up;9;24;1;8;21;3
Milegate;STS-A11;a11-rin-199;10.209.225.26;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Major;logport-2 ;port-2; Cleared   ;                                    ;                           ; ;Down;128;127;255;128;127;255
Milegate;STS-A10-0;a10-rin-134;10.209.225.21;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Cleared;logport-3 ;port-3; Cleared   ; Cliente:IMTECH SERVICOS MARI ; Designador:STS-301B2P9NB-032 ; ;Up;4;23;4;4;21;0
Milegate;STS-A07-0;a07-rin-138;10.209.225.13;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Warning;logport-3 ;port-3; Cleared   ;            ;               ; ;Up;6;23;3;6;21;4
